TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6686799,1306.0154,157976,0,46,0,0,1,0,1,0.28533447,1,200.7,7.9
2,4,1024,10,1,5348296,4178.3564,151576,0,87,0,0,1,0,1,0.43243653,2,231.7,10.5
3,8,8192,10,1,727731,4548.319,56476,0,46,1,0,4,1,1,1.1205999,3,140.8,7.2
4,16,32768,10,1,182747,4568.675,12735,0,234,4,1,48,2,8,7.3396153,4,113.9,5.6
5,32,131072,10,1,45710,4571.0,3119,2,665,17,4,242,10,25,27.479641,5,120.8,6.1
6,64,524288,15,2,17144,4571.7334,2014,10,1123,71,16,732,48,105,111.87041,6,139.8,7.2
7,128,512,20,3,21436392,4186.7954,1147146,0,631,3,0,86,1,6,7.1171455,7,310.6,12.1
8,256,2048,25,4,7130397,4456.498,26558,0,2201,62,5,1248,30,171,169.83177,8,185.8,7.2
9,512,16384,30,5,1096285,4567.854,15841,0,3846,97,1,2720,7,491,368.22525,9,142.8,6.2
10,1024,65536,35,6,314918,4498.8286,1539,56,6574,2347,215,6177,1062,3869,2525.1917,10,145.8,6.3
11,2048,1024,40,7,21569291,4212.7524,2596831,0,16703,155,1,3712,19,480,443.40213,11,241.6,9.9
12,2048,65536,40,7,227060,2838.25,2260,6,24514,5382,53,19431,2051,9274,6336.438,12,460.2,16.0
13,2048,262144,40,7,90808,4540.4,8999,5,7607,969,15,4327,363,1899,1266.769,13,235.6,11.0
